No ,Pertanyaan ,Jawaban,Sumber
204,Ayat mana dalam Al-Qur’an yang menyebutkan kewajiban haji?,"Ayat yang menyebutkan kewajiban haji terdapat dalam QS. Ali Imran: 97, di mana Allah berfirman, ""Mengerjakan haji adalah kewajiban manusia terhadap Allah, yaitu bagi orang yang sanggup mengadakan perjalanan ke Baitullah."" Ayat ini menegaskan bahwa kewajiban haji berlaku bagi yang mampu dan menunjukkan pentingnya ibadah haji sebagai kewajiban bagi umat Islam.","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
205,Apa hadits yang menunjukkan haji sebagai rukun Islam?,"Nabi Muhammad SAW bersabda bahwa Islam dibangun di atas lima perkara: bersyahadat bahwa tidak ada sesembahan yang berhak disembah selain Allah dan Muhammad adalah utusan-Nya, mendirikan shalat, menunaikan zakat, berhaji ke Baitullah, dan berpuasa di bulan Ramadhan (HR. Bukhari dan Muslim). Hadits ini menunjukkan bahwa haji adalah salah satu rukun Islam yang wajib dilaksanakan bagi yang mampu.","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
206,Apakah haji wajib dilakukan setiap tahun?,"Tidak, Bapak/Ibu. Rasulullah SAW menjelaskan dalam hadits bahwa jika haji diwajibkan setiap tahun, belum tentu umat mampu melaksanakannya. Ketika beliau bersabda, ""Allah telah mewajibkan haji bagi kalian, maka berhajilah,"" seseorang bertanya, ""Apakah setiap tahun?"" Rasulullah diam hingga ditanya tiga kali, lalu beliau menjawab, ""Seandainya aku mengatakan 'iya', maka tentu haji akan diwajibkan setiap tahun, dan belum tentu kalian sanggup."" Ini menunjukkan bahwa haji diwajibkan sekali seumur hidup bagi yang mampu.","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
207,Apa pendapat ulama mengenai kewajiban haji?,"Para ulama sepakat bahwa haji wajib sekali seumur hidup bagi yang mampu. Ibnu Qudamah menyatakan bahwa umat telah bersepakat mengenai kewajiban ini. Jadi, bagi yang mampu, haji harus dilaksanakan setidaknya sekali dalam seumur hidup, dan hal ini sangat ditekankan dalam ajaran Islam sebagai salah satu bentuk ibadah yang penting.","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
208,Apa saja keutamaan haji?,"Halo bapak/ibu, setidaknya terdapat enam keutamaan haji: 1) Haji merupakan di antara amalan yang paling afdhol, 2) Haji termasuk jihad fii sabilillah (jihad di jalan Allah), 3) Jika ibadah haji tidak bercampur dengan dosa, maka balasannya adalah surga, 4) Haji akan menghapuskan kesalahan dan dosa-dosa, 5) Orang yang berhaji adalah tamu Allah, dan 6) Orang yang haji didoakan ampunan.","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
209,Amalan apa yang paling afdhol menurut hadits?,"Nabi Muhammad SAW ditanya tentang amalan apa yang paling afdhol, beliau menjawab, “Beriman kepada Allah dan Rasul-Nya,” kemudian “Jihad di jalan Allah,” dan ketiga adalah “Haji mabrur” (HR. Bukhari dan Muslim). Jadi, haji mabrur termasuk amalan yang sangat utama dalam Islam.","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
210,Bagaimana haji termasuk jihad fii sabilillah?,"Menurut hadits dari ‘Aisyah radhiyallahu ‘anha, ia bertanya kepada Nabi SAW apakah jihad adalah amalan yang paling afdhol. Nabi menjawab, “Tidak. Jihad yang paling utama adalah haji mabrur” (HR. Bukhari). Ini menunjukkan bahwa haji mabrur dianggap sebagai jihad di jalan Allah.","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
211,Apa balasan bagi ibadah haji yang mabrur?,"Dari hadits Abu Hurairah radhiyallahu ‘anhu, Nabi Muhammad SAW bersabda, “Ibadah umrah ke ibadah umrah berikutnya adalah penggugur dosa di antara keduanya, dan haji yang mabrur tiada balasan baginya melainkan surga” (HR. Bukhari dan Muslim). Jadi, balasan haji mabrur adalah surga.","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
212,Bagaimana haji menghapuskan kesalahan dan dosa?,"Menurut hadits dari Abu Hurairah, Nabi Muhammad SAW bersabda, “Siapa yang berhaji ke Baitullah lalu tidak berkata-kata seronok dan tidak berbuat kefasikan maka dia pulang ke negerinya sebagaimana ketika dilahirkan oleh ibunya” (HR. Bukhari). Haji dapat menghapuskan semua dosa dan kesalahan sebelumnya.","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
213,Siapa tamu Allah saat berhaji?,"Dari hadits Abu Hurairah, Nabi Muhammad SAW bersabda, “Orang-orang yang berhaji serta berumroh adalah tamu-tamu Allah. Allah memanggil mereka, mereka pun memenuhi panggilan. Oleh karena itu, jika mereka meminta ampun kepada Allah pasti akan Allah beri ampunan” (HR. An-Nasa’i dan Ibnu Majah). Jadi, orang yang berhaji dianggap sebagai tamu Allah.","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
214,Apa doa Nabi untuk orang yang berhaji?,"Dari hadits Abu Hurairah, Rasulullah SAW bersabda, “Semoga Allah mengampuni orang-orang yang pergi haji dan orang yang dimohonkan ampun olehnya (orang yang pergi haji)” (HR. Al-Hakim). Jadi, Nabi mendoakan ampunan bagi orang yang berhaji dan juga bagi mereka yang didoakan oleh orang yang berhaji.","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
215,Apakah haji termasuk amalan yang paling utama?,"Iya bapak/ibu, dalam hadits yang diriwayatkan oleh Abu Hurairah, Nabi Muhammad SAW menyebut haji mabrur sebagai salah satu amalan yang paling afdhol setelah beriman kepada Allah dan Rasul-Nya serta jihad di jalan Allah (HR. Bukhari dan Muslim).","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
216,Mengapa haji disebut sebagai jihad yang paling utama?,"Karena dalam hadits dari ‘Aisyah radhiyallahu ‘anha, Nabi Muhammad SAW menjelaskan bahwa jihad yang paling utama adalah haji mabrur. Jadi, haji mabrur memiliki nilai yang sangat tinggi dan dianggap sebagai bentuk jihad di jalan Allah (HR. Bukhari).","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
217,Apa yang harus kita lakukan untuk mendapatkan balasan surga dari haji?,"Untuk mendapatkan balasan surga dari haji, kita harus memastikan ibadah haji kita adalah haji mabrur, yaitu haji yang dilaksanakan dengan ikhlas dan tidak tercampur dosa. Seperti yang disabdakan oleh Nabi Muhammad SAW, “Haji yang mabrur tiada balasan baginya melainkan surga” (HR. Bukhari dan Muslim).","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
218,Apa saja cara melaksanakan haji?,"Baik bapak dan ibu, ada tiga cara untuk melaksanakan haji: 1) Tamattu’, yaitu niat umroh di bulan-bulan haji, melakukan manasik umroh, bertahalul, lalu melakukan manasik haji ketika waktu haji tiba. Yang memilih cara ini harus menyembelih hadyu. 2) Ifrod, yaitu meniatkan haji saja ketika berihram. 3) Qiron, yaitu meniatkan umroh dan haji sekaligus dalam satu manasik. Yang memilih cara ini juga harus menyembelih hadyu. Adakah dari ketiga cara ini yang ingin bapak/ibu ketahui lebih lanjut?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
219,Apa itu haji Tamattu'?,"Haji Tamattu’ adalah haji yang dilakukan dengan cara berniat umroh di bulan-bulan haji, melaksanakan manasik umroh, bertahalul, lalu menunggu hingga waktu haji tiba dan melaksanakan manasik haji. Bagi yang melakukan haji Tamattu’, diwajibkan menyembelih hadyu. Apakah bapak/ibu ingin mengetahui lebih lanjut tentang manasik umroh dan haji dalam Tamattu’?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
220,Bagaimana dengan haji Ifrod?,"Haji Ifrod adalah haji yang dilakukan dengan meniatkan haji saja ketika berihram, tanpa melaksanakan umroh sebelumnya. Cara ini tidak mengharuskan penyembelihan hadyu. Apakah ada yang ingin bapak/ibu tanyakan lebih jauh tentang Ifrod?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
221,Apa itu haji Qiron?,"Haji Qiron adalah haji yang dilakukan dengan meniatkan umroh dan haji sekaligus dalam satu manasik. Bagi yang melakukan haji Qiron, diwajibkan menyembelih hadyu. Apakah bapak/ibu ingin mengetahui detail lebih lanjut tentang Qiron?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
222,Apa saja syarat wajib haji?,"Syarat wajib haji meliputi: 1) Islam, 2) Berakal, 3) Baligh, 4) Merdeka, 5) Mampu secara finansial dan fisik, termasuk memiliki bekal dan kendaraan, sehat, perjalanan aman, serta bisa melakukan perjalanan. Khusus untuk perempuan, harus ditemani suami atau mahrom dan tidak dalam masa 'iddah. Apakah ada syarat yang ingin bapak/ibu tanyakan lebih lanjut?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
223,Bagaimana syarat wajib haji bagi anak kecil?,"Jika anak kecil berhaji, hajinya sah tetapi dianggap sebagai haji tathowwu’ (sunnah). Ketika sudah baligh, ia tetap wajib menunaikan haji lagi karena haji yang dilakukan saat masih kecil belum memenuhi kewajiban haji yang sebenarnya. Apakah bapak/ibu ingin tahu lebih lanjut tentang ketentuan haji bagi anak kecil?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
224,Apa saja syarat mampu untuk haji?,"Syarat mampu meliputi: 1) Bekal dan kendaraan, 2) Kesehatan badan, 3) Perjalanan aman, dan 4) Mampu melakukan perjalanan. Bekal harus mencakup kebutuhan makan, minum, tempat tinggal, dan nafkah bagi keluarga yang ditinggal. Apakah bapak/ibu ingin mengetahui lebih rinci mengenai syarat mampu ini?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
225,Apa syarat mampu khusus bagi perempuan?,"Selain syarat umum, syarat khusus bagi perempuan adalah: 1) Ditemani suami atau mahrom, meskipun ada ulama yang berpendapat ini bukan syarat wajib, dan 2) Tidak dalam masa 'iddah wafat. Apakah bapak/ibu ingin mendalami syarat khusus bagi perempuan ini?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
226,Apa saja rukun haji?,"Rukun haji ada empat: 1) Niat ihram, 2) Thawaf ifadhoh, 3) Sa’i, dan 4) Wukuf di Arafah. Jika salah satu rukun ini tidak dilakukan, maka haji tidak sah. Adakah rukun haji yang ingin bapak/ibu ketahui lebih dalam?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
227,Apa yang dimaksud dengan niat ihram?,Niat ihram adalah niat untuk memulai ibadah haji atau umroh yang dilakukan saat berihram dari miqat. Niat ini adalah salah satu rukun haji yang harus dilakukan agar haji sah. Apakah bapak/ibu ingin mengetahui lebih lanjut tentang niat ihram?,"Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
228,Bagaimana jika tidak melakukan salah satu rukun haji?,"Jika salah satu rukun haji tidak dilakukan, maka haji yang dilaksanakan tidak sah. Keempat rukun haji tersebut adalah niat ihram, thawaf ifadhoh, sa’i, dan wukuf di Arafah. Apakah ada yang ingin bapak/ibu tanyakan mengenai hal ini?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
229,Apa saja yang termasuk wajib haji?,"Wajib haji ada tujuh: 1) Ihram dari miqat, 2) Wukuf di Arafah hingga terbenam matahari, 3) Bermalam di Muzdalifah, 4) Bermalam di Mina, 5) Melempar jumrah, 6) Tahallul, dan 7) Thawaf wada. Jika salah satu wajib haji ini tidak dilakukan, haji tetap sah tetapi harus membayar dam. Apakah bapak/ibu ingin mengetahui lebih lanjut tentang wajib haji?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
230,Apa itu ihram dari miqat?,"Ihram dari miqat adalah memulai niat haji atau umroh dari tempat yang telah ditentukan sesuai dengan asal jamaah. Ada dua jenis miqat: Miqat Zamani, yaitu bulan-bulan haji (Syawwal, Dzulqo’dah, dan 10 hari pertama Dzulhijjah), dan Miqat Makani, yaitu tempat-tempat tertentu seperti Dzulhulaifah, Al-Juhfah, Qorn Al-Manazil, Yalamlam, dan Dzu ‘Irqin. Apakah bapak/ibu ingin mengetahui lebih detail tentang miqat?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
231,Apa itu wukuf di Arafah?,"Wukuf di Arafah adalah salah satu rukun haji yang dilakukan dengan berdiam diri di padang Arafah pada tanggal 9 Dzulhijjah, mulai dari tergelincir matahari hingga terbenam. Ini adalah salah satu puncak ibadah haji yang sangat penting. Apakah bapak/ibu ingin mengetahui lebih lanjut tentang wukuf di Arafah?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
232,Apa saja larangan ihram?,"Larangan ihram meliputi: 1) Mengenakan pakaian berjahit bagi laki-laki, 2) Menutup kepala bagi laki-laki, 3) Menggunakan harum-haruman, 4) Mencukur rambut, 5) Menggunting kuku, 6) Memburu hewan darat yang halal dimakan, 7) Melakukan khitbah, 8) Akad nikah, 9) Jima’ (hubungan intim), 10) Mencumbu istri, 11) Memakai niqob dan sarung tangan bagi wanita. Apakah bapak/ibu ingin mengetahui lebih rinci tentang larangan-larangan ini?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
233,Mengapa tidak boleh memakai pakaian berjahit saat ihram?,Mengenakan pakaian berjahit bagi laki-laki saat ihram dilarang karena pakaian berjahit menampakkan bentuk lekuk tubuh. Hal ini termasuk dalam larangan ihram yang harus dihindari agar ibadah haji atau umroh sah. Apakah bapak/ibu ingin mengetahui lebih lanjut tentang larangan ini?,"Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
234,Apakah boleh menutup kepala saat ihram?,"Menutup kepala bagi laki-laki saat ihram tidak diperbolehkan. Hal ini termasuk dalam larangan ihram yang harus dihindari. Namun, menggunakan payung atau berada di bawah naungan yang tidak langsung menempel di kepala masih diperbolehkan. Apakah bapak/ibu ingin mengetahui lebih rinci tentang hal ini?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
235,Apakah wanita boleh memakai niqob saat ihram?,Wanita yang sedang berihram dilarang mengenakan niqob dan sarung tangan. Nabi Muhammad SAW bersabda bahwa wanita yang sedang berihram tidak boleh mengenakan cadar dan sarung tangan. Apakah bapak/ibu ingin mengetahui lebih lanjut tentang larangan ini?,"Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
236,Apa hukuman jika melanggar larangan ihram?,"Jika melanggar larangan ihram, maka orang yang berhaji atau berumroh wajib menunaikan fidyah, puasa, atau memberi makan sebagai pengganti. Misalnya, mencukur rambut atau menggunakan harum-haruman saat ihram akan dikenakan fidyah. Apakah bapak/ibu ingin mengetahui lebih rinci tentang fidyah ini?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
237,Apa saja yang harus dilakukan setelah menyelesaikan manasik haji?,"Setelah menyelesaikan manasik haji, jamaah harus melakukan thawaf wada sebagai tanda perpisahan dengan Ka'bah sebelum meninggalkan Makkah. Thawaf wada adalah salah satu wajib haji yang harus dilakukan agar haji sah. Apakah bapak/ibu ingin mengetahui lebih lanjut tentang thawaf wada?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
238,Apa itu umroh?,"Baik bapak dan ibu, umroh secara bahasa berarti ziarah atau berkunjung, sedangkan secara istilah, umroh adalah pergi ke Baitullah di selain waktu haji untuk melaksanakan ibadah khusus dengan syarat-syarat khusus. Apakah bapak/ibu ingin mengetahui lebih detail tentang syarat-syarat umroh?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
239,Apa dasar disyariatkannya umroh dalam Al-Qur’an?,"Allah Ta’ala berfirman dalam QS. Al-Baqoroh: 196, ""Dan sempurnakanlah ibadah haji dan 'umrah karena Allah."" Ayat ini menegaskan bahwa umroh adalah ibadah yang harus disempurnakan karena Allah. Apakah bapak/ibu ingin mengetahui lebih banyak tentang tafsir ayat ini?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
240,Apa hadits yang menunjukkan disyariatkannya umroh?,"Ibunda ‘Aisyah radhiallahu ‘anha bertanya kepada Rasulullah SAW apakah ada jihad bagi wanita. Rasulullah menjawab, ""Ya, jihad yang tidak ada peperangan di dalamnya, yaitu haji dan umroh"" (HR. Ibnu Majah). Apakah bapak/ibu ingin mengetahui lebih lanjut tentang keutamaan umroh bagi wanita?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
241,Apa keutamaan umroh dalam menghapuskan dosa?,"Nabi Muhammad SAW bersabda, ""Antara umroh yang pertama ke umroh yang berikutnya dapat menjadi kafarot (penghapusan dosa)"" (HR. Bukhari dan Muslim). Apakah bapak/ibu ingin mengetahui lebih lanjut tentang bagaimana umroh dapat menghapuskan dosa?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
242,Bagaimana keutamaan umroh di bulan Ramadhan?,"Rasulullah SAW bersabda, ""Umroh di bulan Ramadhan setara dengan haji bersama Rasulullah"" (HR. Muslim). Apakah bapak/ibu ingin mengetahui lebih banyak tentang keutamaan umroh di bulan Ramadhan?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
243,Apa saja rukun umroh?,"Rukun umroh ada tiga: 1) Niat ihram, 2) Tawaf mengelilingi Ka'bah, dan 3) Sa’i (lari-lari kecil antara bukit Safa dan Marwah). Apakah bapak/ibu ingin mengetahui lebih detail tentang setiap rukun umroh?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
244,Bagaimana cara melaksanakan niat ihram untuk umroh?,Niat ihram dilakukan dengan niat dalam hati untuk memulai ibadah umroh saat berada di miqat. Ini adalah salah satu rukun umroh yang harus dilakukan agar umroh sah. Apakah bapak/ibu ingin mengetahui lebih rinci tentang cara melaksanakan niat ihram?,"Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
245,Apa itu tawaf dalam umroh?,Tawaf adalah mengelilingi Ka'bah sebanyak tujuh kali putaran sebagai salah satu rukun umroh. Tawaf harus dilakukan dengan tertib dan khusyuk. Apakah bapak/ibu ingin mengetahui lebih lanjut tentang tata cara tawaf?,"Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
246,Apa itu sa’i dalam umroh?,Sa’i adalah lari-lari kecil antara bukit Safa dan Marwah sebanyak tujuh kali sebagai salah satu rukun umroh. Sa’i dilakukan setelah tawaf. Apakah bapak/ibu ingin mengetahui lebih rinci tentang tata cara sa’i?,"Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
247,Apa saja yang termasuk wajib umroh?,"Wajib umroh ada dua: 1) Ihram dari miqat, dan 2) Halq (botak) atau Taqsir (memendekkan rambut). Apakah bapak/ibu ingin mengetahui lebih detail tentang wajib umroh?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
248,Apa itu ihram dari miqat?,Ihram dari miqat adalah memulai niat umroh dari tempat yang telah ditentukan sesuai dengan asal jamaah. Miqat adalah tempat atau waktu di mana jamaah harus mulai berihram. Apakah bapak/ibu ingin mengetahui lebih rinci tentang miqat?,"Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
249,Apa itu halq dan taqsir dalam umroh?,"Halq adalah mencukur rambut sampai botak, sedangkan taqsir adalah memendekkan rambut. Keduanya termasuk dalam wajib umroh yang harus dilakukan setelah sa’i. Apakah bapak/ibu ingin mengetahui lebih lanjut tentang perbedaan halq dan taqsir?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
250,Apa keutamaan umroh sebagai bentuk jihad bagi wanita?,"Rasulullah SAW menjelaskan bahwa umroh adalah bentuk jihad bagi wanita tanpa ada peperangan di dalamnya (HR. Ibnu Majah). Jadi, umroh memiliki keutamaan yang besar bagi wanita. Apakah bapak/ibu ingin mengetahui lebih banyak tentang keutamaan ini?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
